epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.575,1.79889,4.23224,1.55669,0.00333,1,0.93362,0.42246,1.55586,3.75837,1.25268,0.00044,0.00044,0.00044
2,242.452,1.50079,2.57638,1.26231,0.00333,1,0.52011,0.09975,0.94839,3.5781,1.08463,0.00089109,0.00089109,0.00089109
3,355.883,1.49497,2.27374,1.28754,1,0.63363,0.93222,0.41051,1.60829,3.25055,1.39225,0.00133307,0.00133307,0.00133307
4,467.496,1.47964,1.99055,1.29672,1,0.62886,0.98259,0.60296,1.21461,2.597,1.08125,0.00176595,0.00176595,0.00176595
5,584.205,1.40258,1.62782,1.26174,0.38303,0.41407,0.44807,0.24464,1.52715,2.57377,1.23945,0.0019208,0.0019208,0.0019208
6,696.6,1.46369,1.53723,1.34227,0.67879,0.18182,0.27609,0.17729,1.54999,3.42506,1.76911,0.001901,0.001901,0.001901
7,817.44,1.44178,1.42695,1.2664,0.00051,0.15152,0.00046,0.00011,2.3657,4.47844,2.47429,0.0018812,0.0018812,0.0018812
8,937.79,1.36858,1.3258,1.22967,0.79239,0.1166,0.41184,0.21192,1.41002,3.37396,1.10618,0.0018614,0.0018614,0.0018614
