epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1065,0.60761,0.34634,1.00044,0.9942,0.99668,0.995,0.84646,0.56014,0.2873,0.85992,0.000474668,0.000474668,0.000474668
2,79.6983,0.63438,0.35964,0.99358,0.99715,0.99214,0.995,0.8369,0.6003,0.33396,0.8752,0.000941586,0.000941586,0.000941586
3,114.716,0.65626,0.37392,1.00375,0.98614,0.99438,0.99416,0.82761,0.58126,0.32827,0.88683,0.00139907,0.00139907,0.00139907
4,150.306,0.65409,0.37088,1.00296,0.99122,0.98966,0.995,0.84191,0.58301,0.33037,0.88565,0.00138656,0.00138656,0.00138656
5,184.49,0.65163,0.3751,1.00243,0.99351,0.99331,0.995,0.83746,0.59208,0.3156,0.88209,0.00137241,0.00137241,0.00137241
6,218.151,0.65572,0.37718,1.00316,0.99644,0.99435,0.99497,0.82234,0.60353,0.32173,0.88731,0.00135826,0.00135826,0.00135826
7,251.702,0.6422,0.37035,0.99659,0.98765,0.98872,0.99465,0.82014,0.61975,0.33169,0.89124,0.00134412,0.00134412,0.00134412
8,286.372,0.63391,0.3651,0.99725,0.9897,0.99153,0.99489,0.84498,0.59142,0.31065,0.88371,0.00132997,0.00132997,0.00132997
9,321.539,0.64304,0.37294,1.00171,0.97661,0.9907,0.99404,0.80733,0.63833,0.36816,0.89538,0.00131582,0.00131582,0.00131582
10,355.763,0.6402,0.36268,0.99712,0.9967,0.9928,0.99492,0.8253,0.6062,0.32373,0.88968,0.00130168,0.00130168,0.00130168
11,390.041,0.63062,0.36098,0.99492,0.99178,0.99709,0.995,0.81466,0.62693,0.32652,0.89426,0.00128753,0.00128753,0.00128753
12,424.183,0.61564,0.35277,0.98888,0.99321,0.99371,0.99489,0.83397,0.58554,0.31137,0.87254,0.00127338,0.00127338,0.00127338
13,458.122,0.62382,0.35336,0.9922,0.98331,0.99592,0.99403,0.82575,0.62612,0.32388,0.88708,0.00125923,0.00125923,0.00125923
14,490.721,0.62536,0.35458,0.99433,0.99691,0.99435,0.99494,0.80683,0.59895,0.31341,0.87236,0.00124509,0.00124509,0.00124509
15,523.188,0.62634,0.35492,0.99238,0.99421,0.99718,0.995,0.8513,0.5527,0.3049,0.8575,0.00123094,0.00123094,0.00123094
16,559.867,0.60807,0.35196,0.98343,0.98835,1,0.995,0.82286,0.58141,0.31583,0.86984,0.00121679,0.00121679,0.00121679
17,598.651,0.62389,0.35127,0.99085,0.98873,1,0.99373,0.81534,0.5915,0.32998,0.88688,0.00120265,0.00120265,0.00120265
18,636.005,0.61862,0.35072,0.99339,0.9878,0.98569,0.99121,0.79176,0.63845,0.36762,0.89725,0.0011885,0.0011885,0.0011885
19,674.078,0.61912,0.35177,0.99264,0.99394,0.99272,0.99497,0.81429,0.5901,0.31626,0.87718,0.00117435,0.00117435,0.00117435
20,711.494,0.61445,0.34436,0.98836,0.98439,0.98787,0.9885,0.80766,0.60729,0.32831,0.87286,0.00116021,0.00116021,0.00116021
21,749.118,0.60507,0.35089,0.98231,0.99518,0.99515,0.995,0.84884,0.54848,0.29058,0.85325,0.00114606,0.00114606,0.00114606
22,786.162,0.60386,0.35488,0.98324,0.98948,0.99435,0.99484,0.80245,0.60745,0.32554,0.87308,0.00113191,0.00113191,0.00113191
23,822.169,0.60575,0.3462,0.98173,0.99319,0.99718,0.995,0.83551,0.56635,0.30465,0.85781,0.00111776,0.00111776,0.00111776
24,858.195,0.59595,0.34163,0.97665,0.99187,0.98978,0.99492,0.84457,0.5592,0.30131,0.85388,0.00110362,0.00110362,0.00110362
25,895.151,0.60154,0.34219,0.97888,0.99404,0.99298,0.99492,0.81972,0.57586,0.30529,0.86007,0.00108947,0.00108947,0.00108947
26,931.124,0.59718,0.34349,0.97782,0.99407,0.9887,0.99483,0.84542,0.5498,0.30299,0.86108,0.00107532,0.00107532,0.00107532
27,966.309,0.60117,0.34034,0.97624,0.98684,0.99718,0.99481,0.83074,0.55254,0.3013,0.85704,0.00106118,0.00106118,0.00106118
28,1001.05,0.59678,0.34238,0.98258,0.99088,0.98738,0.99466,0.8311,0.56797,0.29685,0.86354,0.00104703,0.00104703,0.00104703
29,1035.91,0.59018,0.33608,0.97009,0.99305,0.99256,0.99486,0.83053,0.56707,0.30948,0.86743,0.00103288,0.00103288,0.00103288
30,1071.24,0.58969,0.33413,0.97218,0.98884,0.98305,0.99416,0.83092,0.57947,0.33269,0.86976,0.00101873,0.00101873,0.00101873
31,1106.11,0.59679,0.33669,0.97653,0.98802,0.99578,0.9948,0.83635,0.55045,0.29472,0.85369,0.00100459,0.00100459,0.00100459
32,1139.74,0.58613,0.33948,0.97483,0.99784,0.98819,0.99484,0.82999,0.57832,0.30777,0.85857,0.00099044,0.00099044,0.00099044
33,1175.51,0.57904,0.33096,0.97199,0.99344,0.99153,0.99486,0.84501,0.55617,0.30181,0.86014,0.000976293,0.000976293,0.000976293
34,1209.41,0.58052,0.33049,0.96653,0.99246,0.9924,0.99492,0.83499,0.55382,0.28265,0.85964,0.000962146,0.000962146,0.000962146
35,1243.59,0.56397,0.32678,0.96868,0.98995,0.99102,0.99483,0.82638,0.56491,0.295,0.86935,0.000947999,0.000947999,0.000947999
36,1277.89,0.58419,0.32559,0.96879,0.9971,0.98865,0.99494,0.8374,0.57314,0.29437,0.85865,0.000933851,0.000933851,0.000933851
37,1310.98,0.57283,0.32479,0.97022,0.99391,0.99718,0.995,0.84712,0.55423,0.29467,0.85542,0.000919704,0.000919704,0.000919704
38,1345.52,0.58259,0.32223,0.96676,0.9936,0.9887,0.99483,0.83381,0.55513,0.29288,0.85765,0.000905557,0.000905557,0.000905557
39,1379.83,0.57333,0.32946,0.96542,0.98523,1,0.99494,0.84454,0.55565,0.29544,0.85364,0.00089141,0.00089141,0.00089141
40,1414.47,0.57506,0.32336,0.96252,0.98292,0.99934,0.995,0.82332,0.57434,0.31279,0.86156,0.000877263,0.000877263,0.000877263
41,1447.65,0.56071,0.32214,0.96724,0.99535,0.9961,0.995,0.84384,0.56104,0.29448,0.85928,0.000863116,0.000863116,0.000863116
42,1482.15,0.56444,0.31998,0.96006,0.99466,0.99435,0.99494,0.85394,0.55541,0.29681,0.85411,0.000848969,0.000848969,0.000848969
43,1516.74,0.56725,0.32643,0.95753,0.99208,0.99256,0.99492,0.83779,0.55329,0.29271,0.84534,0.000834822,0.000834822,0.000834822
44,1551.11,0.55675,0.31771,0.96549,0.99471,0.99675,0.99497,0.84177,0.55802,0.28634,0.84985,0.000820675,0.000820675,0.000820675
45,1585.35,0.55915,0.31377,0.96352,0.99396,0.99718,0.99492,0.83428,0.56457,0.29846,0.85433,0.000806528,0.000806528,0.000806528
46,1619.2,0.55454,0.31456,0.95494,0.99229,0.99946,0.99492,0.84609,0.55346,0.281,0.8549,0.00079238,0.00079238,0.00079238
47,1653.81,0.54356,0.31054,0.95316,0.99655,0.99435,0.99492,0.84446,0.54705,0.27702,0.85519,0.000778233,0.000778233,0.000778233
48,1686.5,0.5471,0.30529,0.9581,0.99647,0.99539,0.99492,0.85528,0.54727,0.29186,0.8511,0.000764086,0.000764086,0.000764086
49,1719.9,0.54779,0.30816,0.95523,0.99293,0.99435,0.99494,0.85012,0.55454,0.28924,0.85722,0.000749939,0.000749939,0.000749939
50,1753.97,0.54986,0.31179,0.96333,0.99669,0.99404,0.99497,0.84185,0.55398,0.27918,0.84959,0.000735792,0.000735792,0.000735792
51,1788.1,0.54673,0.31089,0.95855,0.99697,0.99343,0.99494,0.84072,0.53833,0.26897,0.84796,0.000721645,0.000721645,0.000721645
52,1822.93,0.55381,0.31252,0.95724,0.99287,0.99435,0.99492,0.82906,0.5601,0.27939,0.85425,0.000707498,0.000707498,0.000707498
53,1857.34,0.54123,0.3053,0.9557,0.99662,0.99373,0.99497,0.84188,0.57584,0.28493,0.86136,0.000693351,0.000693351,0.000693351
54,1890.71,0.54707,0.3064,0.95453,0.9944,0.99187,0.99494,0.83617,0.56805,0.28606,0.84916,0.000679204,0.000679204,0.000679204
55,1924.62,0.54843,0.30844,0.95468,0.99686,0.99435,0.99497,0.83189,0.56486,0.27395,0.85505,0.000665057,0.000665057,0.000665057
56,1959.31,0.52983,0.30332,0.95105,0.99238,1,0.99494,0.83091,0.54887,0.27683,0.84564,0.000650909,0.000650909,0.000650909
57,1993.51,0.5397,0.30375,0.95179,0.98957,1,0.99489,0.83549,0.54568,0.28188,0.84877,0.000636762,0.000636762,0.000636762
