epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5721,1.72685,3.12642,2.0802,0.53712,0.66598,0.75718,0.37755,1.68248,2.05155,2.11326,0.000471709,0.000471709,0.000471709
2,36.0714,1.31341,1.70529,1.69473,0.69798,0.94444,0.88775,0.57763,1.16631,1.33879,1.68648,0.000938656,0.000938656,0.000938656
3,52.1217,1.2123,1.20624,1.54982,0.98032,0.99908,0.995,0.71754,1.013,0.91375,1.50147,0.00139617,0.00139617,0.00139617
4,68.1417,1.13472,0.99664,1.4824,0.9747,0.99573,0.99401,0.75861,0.87788,0.75106,1.36745,0.00138656,0.00138656,0.00138656
5,84.8784,1.03922,0.85425,1.39384,0.989,1,0.995,0.75657,0.95571,0.6155,1.31131,0.00137241,0.00137241,0.00137241
6,102.129,1.0224,0.79237,1.36843,0.99643,0.99969,0.995,0.77889,0.83774,0.54255,1.24048,0.00135826,0.00135826,0.00135826
7,119.343,0.96448,0.72433,1.32397,0.99656,1,0.995,0.75202,0.92282,0.541,1.28249,0.00134412,0.00134412,0.00134412
8,135.999,0.94905,0.69366,1.30279,0.98747,0.98718,0.99277,0.75675,0.8588,0.52475,1.21074,0.00132997,0.00132997,0.00132997
9,152.872,0.92327,0.6525,1.28564,0.99744,1,0.995,0.76365,0.88434,0.52357,1.24985,0.00131582,0.00131582,0.00131582
10,169.622,0.91195,0.64549,1.27238,0.99169,0.99957,0.99496,0.77481,0.85955,0.50095,1.1933,0.00130168,0.00130168,0.00130168
11,187.087,0.89022,0.62141,1.25449,0.99717,0.9985,0.995,0.76214,0.84446,0.51101,1.21193,0.00128753,0.00128753,0.00128753
12,204.217,0.90155,0.61655,1.26435,0.9906,0.99933,0.995,0.79525,0.7837,0.50987,1.12573,0.00127338,0.00127338,0.00127338
13,221.188,0.88215,0.60111,1.25006,0.99345,0.99861,0.995,0.80815,0.74414,0.47025,1.08967,0.00125923,0.00125923,0.00125923
14,237.875,0.85064,0.58348,1.23042,0.99511,1,0.995,0.73916,0.83751,0.51313,1.14329,0.00124509,0.00124509,0.00124509
15,254.692,0.87047,0.5742,1.22994,0.99669,0.99954,0.995,0.77362,0.79319,0.46778,1.10401,0.00123094,0.00123094,0.00123094
16,271.632,0.85338,0.5684,1.23165,0.99743,1,0.995,0.81123,0.73899,0.44581,1.08253,0.00121679,0.00121679,0.00121679
17,288.765,0.84611,0.5596,1.22856,0.99341,1,0.99496,0.80627,0.74169,0.43752,1.08775,0.00120265,0.00120265,0.00120265
18,306.016,0.82514,0.54566,1.2123,0.99766,1,0.995,0.76474,0.78468,0.42909,1.08716,0.0011885,0.0011885,0.0011885
19,322.951,0.832,0.54309,1.20906,0.99788,1,0.995,0.80428,0.72756,0.43275,1.05702,0.00117435,0.00117435,0.00117435
20,340.113,0.81107,0.53395,1.20091,0.99392,0.99848,0.995,0.78836,0.76313,0.42339,1.04741,0.00116021,0.00116021,0.00116021
21,357.73,0.81272,0.53392,1.19869,0.99756,1,0.995,0.79033,0.72348,0.4022,1.05873,0.00114606,0.00114606,0.00114606
22,375.097,0.78661,0.51043,1.18172,0.99738,1,0.995,0.78819,0.74477,0.41641,1.04931,0.00113191,0.00113191,0.00113191
23,392.612,0.78884,0.51318,1.19041,0.99772,1,0.995,0.79285,0.72682,0.4159,1.02006,0.00111776,0.00111776,0.00111776
24,410.148,0.79046,0.50425,1.18346,0.997,1,0.995,0.74866,0.81515,0.42219,1.0727,0.00110362,0.00110362,0.00110362
25,427.188,0.79522,0.49827,1.18052,0.99656,1,0.995,0.78704,0.71708,0.43872,1.0074,0.00108947,0.00108947,0.00108947
26,445.023,0.76992,0.49228,1.17435,0.99645,1,0.995,0.79812,0.71967,0.39328,1.04118,0.00107532,0.00107532,0.00107532
27,462.258,0.7605,0.4873,1.1625,0.99637,1,0.995,0.77352,0.75,0.43843,1.07295,0.00106118,0.00106118,0.00106118
28,480.279,0.77627,0.49156,1.18806,0.99713,1,0.995,0.80554,0.72409,0.40061,1.01027,0.00104703,0.00104703,0.00104703
29,497.184,0.75557,0.47983,1.16791,0.99632,1,0.995,0.79625,0.71119,0.39499,1.01449,0.00103288,0.00103288,0.00103288
30,514.737,0.75646,0.48246,1.16389,0.99771,1,0.995,0.7736,0.77666,0.40463,1.06798,0.00101873,0.00101873,0.00101873
31,532.131,0.7621,0.47689,1.17134,0.99355,0.99893,0.995,0.79793,0.72316,0.40321,1.03531,0.00100459,0.00100459,0.00100459
32,549.315,0.75018,0.47833,1.15974,0.99693,1,0.995,0.80544,0.70032,0.38138,1.00426,0.00099044,0.00099044,0.00099044
33,566.71,0.74421,0.46607,1.15823,0.99088,0.99145,0.99475,0.7987,0.7296,0.39894,1.0494,0.000976293,0.000976293,0.000976293
34,583.809,0.74938,0.47475,1.15743,0.99751,1,0.995,0.79858,0.70078,0.37995,1.00031,0.000962146,0.000962146,0.000962146
35,600.65,0.74893,0.46272,1.16127,0.99784,1,0.995,0.78969,0.76028,0.38699,1.04744,0.000947999,0.000947999,0.000947999
36,618.371,0.7477,0.45875,1.14738,0.99391,1,0.995,0.78998,0.70522,0.37415,1.02204,0.000933851,0.000933851,0.000933851
37,635.409,0.72162,0.45233,1.14334,0.9971,1,0.995,0.78261,0.7948,0.37704,1.11488,0.000919704,0.000919704,0.000919704
38,652.647,0.73241,0.45243,1.14126,0.99783,1,0.995,0.80242,0.71957,0.36233,1.00918,0.000905557,0.000905557,0.000905557
39,670.416,0.71449,0.44566,1.14106,0.98989,0.99573,0.99483,0.79629,0.70856,0.37304,1.03484,0.00089141,0.00089141,0.00089141
40,687.788,0.71171,0.45292,1.12411,0.99723,1,0.995,0.79728,0.68084,0.36472,1.03675,0.000877263,0.000877263,0.000877263
41,705.387,0.72993,0.44047,1.1506,0.98658,1,0.995,0.79963,0.70285,0.36551,1.01738,0.000863116,0.000863116,0.000863116
42,723.026,0.70973,0.43998,1.12631,0.99759,1,0.995,0.81246,0.66953,0.35309,0.97125,0.000848969,0.000848969,0.000848969
43,740.03,0.71473,0.44126,1.14043,0.99722,0.99815,0.995,0.76929,0.78624,0.38041,1.0796,0.000834822,0.000834822,0.000834822
44,757.527,0.69856,0.43991,1.136,0.99778,1,0.995,0.79881,0.69207,0.34719,1.03359,0.000820675,0.000820675,0.000820675
45,775.107,0.70482,0.42993,1.13035,0.99531,1,0.995,0.80371,0.65294,0.34259,0.95972,0.000806528,0.000806528,0.000806528
46,792.104,0.69783,0.42321,1.11794,0.99605,1,0.995,0.81313,0.70083,0.35638,1.00751,0.00079238,0.00079238,0.00079238
47,810.459,0.69547,0.42464,1.11968,0.99763,1,0.995,0.80209,0.71117,0.3425,1.0312,0.000778233,0.000778233,0.000778233
48,829.632,0.6897,0.41945,1.12294,0.9979,1,0.995,0.79811,0.68867,0.32325,0.98397,0.000764086,0.000764086,0.000764086
49,848.189,0.68924,0.42511,1.11482,0.99645,1,0.995,0.79559,0.72055,0.37028,1.02006,0.000749939,0.000749939,0.000749939
50,866.808,0.68106,0.41425,1.11563,0.99205,1,0.995,0.8026,0.68038,0.34442,0.9928,0.000735792,0.000735792,0.000735792
51,885.632,0.67711,0.41039,1.1106,0.99317,0.99573,0.99487,0.78509,0.73108,0.35549,1.00605,0.000721645,0.000721645,0.000721645
52,903.837,0.69003,0.41298,1.11923,0.99686,1,0.995,0.81044,0.67047,0.33136,0.96097,0.000707498,0.000707498,0.000707498
53,921.338,0.67633,0.40904,1.11064,0.99716,1,0.995,0.79886,0.69295,0.33476,0.99648,0.000693351,0.000693351,0.000693351
54,939.841,0.66964,0.40299,1.10277,0.99769,1,0.995,0.80152,0.69832,0.32594,0.99717,0.000679204,0.000679204,0.000679204
55,957.988,0.66053,0.40053,1.09825,0.99776,1,0.995,0.79542,0.69173,0.32804,0.98713,0.000665057,0.000665057,0.000665057
56,976.46,0.66988,0.40172,1.10657,0.99733,1,0.995,0.80034,0.69465,0.33665,1.00028,0.000650909,0.000650909,0.000650909
