epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5606,0.95649,0.62054,1.22813,0.98411,0.97738,0.99085,0.76412,0.78368,0.45967,0.96543,0.000474668,0.000474668,0.000474668
2,102.882,0.83042,0.5111,1.10217,0.97275,0.99707,0.99311,0.78341,0.721,0.44137,0.93723,0.000941586,0.000941586,0.000941586
3,186.292,0.81562,0.49949,1.09226,0.98326,0.9845,0.99366,0.77982,0.72602,0.42433,0.94157,0.00139907,0.00139907,0.00139907
4,280.986,0.81144,0.4871,1.09204,0.97632,0.98558,0.99327,0.77261,0.74417,0.44313,0.97598,0.00138656,0.00138656,0.00138656
5,476.101,0.79685,0.48026,1.08141,0.98528,0.99541,0.99418,0.77252,0.74338,0.40933,0.94221,0.00137241,0.00137241,0.00137241
6,671.162,0.79207,0.4729,1.081,0.98349,0.98909,0.99408,0.80884,0.67359,0.395,0.92849,0.00135826,0.00135826,0.00135826
7,866.314,0.76081,0.45751,1.06541,0.97401,0.99468,0.99297,0.78809,0.68408,0.40457,0.92923,0.00134412,0.00134412,0.00134412
8,1061.35,0.74354,0.44906,1.06181,0.97625,0.99483,0.99403,0.76305,0.72375,0.40702,0.94061,0.00132997,0.00132997,0.00132997
9,1164.27,0.74574,0.4558,1.06042,0.989,0.99357,0.99434,0.81435,0.67149,0.37201,0.91126,0.00131582,0.00131582,0.00131582
10,1197.61,0.75505,0.44724,1.06326,0.9802,0.99512,0.99408,0.75678,0.70797,0.41659,0.93327,0.00130168,0.00130168,0.00130168
11,1231.04,0.73393,0.44296,1.04929,0.9923,0.98246,0.99396,0.77813,0.69156,0.41671,0.9231,0.00128753,0.00128753,0.00128753
12,1264.84,0.71915,0.43511,1.04307,0.98044,0.99742,0.99371,0.79693,0.68631,0.3947,0.92015,0.00127338,0.00127338,0.00127338
13,1299.46,0.71375,0.43014,1.04329,0.988,0.99483,0.99421,0.8035,0.66773,0.37327,0.91987,0.00125923,0.00125923,0.00125923
