epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.693,1.77121,3.88321,1.49837,0.85743,0.54679,0.91502,0.44359,1.28089,3.55629,0.98991,0.000651852,0.000651852,0.000651852
2,206.537,1.56302,2.61952,1.29813,1,0.81736,0.97183,0.56162,1.24773,2.87892,1.1258,0.00130547,0.00130547,0.00130547
3,309.997,1.47927,2.1585,1.26315,0.99496,0.9697,0.99329,0.72976,1.13175,2.02251,1.06366,0.00194588,0.00194588,0.00194588
4,413.531,1.45603,1.86896,1.28258,0.93267,0.84848,0.93188,0.63521,1.2514,2.45339,1.09895,0.0019406,0.0019406,0.0019406
5,514.087,1.53097,1.67259,1.29221,0.96857,0.84848,0.9598,0.68089,1.09238,1.84574,1.04024,0.0019208,0.0019208,0.0019208
6,617.208,1.46757,1.49553,1.25264,1,0.99865,0.995,0.64529,1.19309,1.41554,1.05719,0.001901,0.001901,0.001901
7,719.517,1.42786,1.39424,1.23052,0.76717,0.89883,0.88129,0.55978,1.02951,1.71852,1.04015,0.0018812,0.0018812,0.0018812
8,823.433,1.42254,1.29922,1.22747,0.96958,0.96595,0.99068,0.64531,1.38412,1.17929,1.136,0.0018614,0.0018614,0.0018614
9,926.07,1.39528,1.18321,1.19665,0.98332,0.93939,0.98146,0.66879,1.01637,1.06963,0.99027,0.0018416,0.0018416,0.0018416
10,1029.5,1.41187,1.16757,1.21231,0.99217,0.9697,0.97086,0.66919,1.07581,1.00416,0.99843,0.0018218,0.0018218,0.0018218
11,1132.03,1.3821,1.0789,1.22758,0.99518,0.9697,0.99105,0.7009,0.85534,0.92802,0.97225,0.001802,0.001802,0.001802
12,1239.57,1.31618,0.97309,1.1704,0.99509,0.9697,0.99329,0.67865,0.89706,0.78693,0.9918,0.0017822,0.0017822,0.0017822
13,1343.29,1.28592,0.93938,1.14535,0.99393,0.9697,0.99412,0.71696,0.92118,0.7384,0.9596,0.0017624,0.0017624,0.0017624
14,1443.4,1.29419,0.89078,1.15417,0.99819,1,0.995,0.73041,0.94428,0.6756,0.9587,0.0017426,0.0017426,0.0017426
15,1544.89,1.32461,0.865,1.15321,0.99662,1,0.995,0.71549,0.90727,0.72465,0.95665,0.0017228,0.0017228,0.0017228
16,1647.21,1.34596,0.87216,1.1457,0.99655,1,0.995,0.67381,0.93404,0.6446,0.9728,0.001703,0.001703,0.001703
17,1747.96,1.34108,0.88183,1.16392,0.99773,0.9697,0.9925,0.74837,0.90474,0.73762,0.95301,0.0016832,0.0016832,0.0016832
18,1848.96,1.276,0.80464,1.15136,1,0.996,0.995,0.74245,0.80293,0.71294,0.93937,0.0016634,0.0016634,0.0016634
19,1951.93,1.24478,0.80053,1.13198,0.99723,1,0.995,0.75732,0.75472,0.57917,0.93871,0.0016436,0.0016436,0.0016436
20,2058.6,1.28892,0.80865,1.15011,0.99696,1,0.995,0.73847,1.01275,0.55924,0.95966,0.0016238,0.0016238,0.0016238
21,2159.86,1.29398,0.76056,1.14891,0.99632,1,0.995,0.7382,0.9,0.57348,0.95414,0.001604,0.001604,0.001604
22,2260.32,1.3044,0.75475,1.15531,0.97054,0.99845,0.99412,0.75339,0.88155,0.52515,0.97716,0.0015842,0.0015842,0.0015842
23,2362.32,1.221,0.7595,1.10772,0.99775,1,0.995,0.75492,0.8393,0.53458,0.94291,0.0015644,0.0015644,0.0015644
24,2463.21,1.27456,0.71274,1.12858,0.99838,1,0.995,0.72243,0.87791,0.58055,0.94891,0.0015446,0.0015446,0.0015446
25,2564.15,1.23183,0.72441,1.11754,0.97055,0.99881,0.99412,0.73324,0.85665,0.54027,0.96861,0.0015248,0.0015248,0.0015248
26,2664.49,1.31547,0.73319,1.15612,0.96836,1,0.99324,0.66959,1.61897,0.73552,1.17221,0.001505,0.001505,0.001505
27,2768.83,1.28109,0.75014,1.15661,0.9705,0.99685,0.99412,0.70141,1.17477,0.6479,1.08173,0.0014852,0.0014852,0.0014852
28,2872.88,1.19852,0.69338,1.11273,0.99649,0.9697,0.99329,0.69623,1.02398,0.59566,0.99818,0.0014654,0.0014654,0.0014654
29,2976.29,1.21022,0.71827,1.10581,1,0.9973,0.995,0.75432,0.91526,0.55457,0.95877,0.0014456,0.0014456,0.0014456
30,3076.76,1.24376,0.67675,1.12579,0.99771,1,0.995,0.72427,1.01126,0.48033,0.97796,0.0014258,0.0014258,0.0014258
31,3177.18,1.22131,0.71349,1.12372,0.99756,1,0.995,0.74539,0.81827,0.48786,0.93594,0.001406,0.001406,0.001406
32,3278.31,1.21416,0.70998,1.11289,0.99766,1,0.995,0.72122,0.86561,0.49242,0.94923,0.0013862,0.0013862,0.0013862
33,3379.12,1.17271,0.68565,1.1171,0.99693,1,0.995,0.75281,0.75476,0.50539,0.92097,0.0013664,0.0013664,0.0013664
34,3479.78,1.17333,0.6692,1.08416,0.9958,1,0.995,0.76036,0.82003,0.52088,0.93453,0.0013466,0.0013466,0.0013466
35,3580.65,1.17556,0.65981,1.10026,0.99764,1,0.995,0.72705,0.89398,0.45857,0.96097,0.0013268,0.0013268,0.0013268
36,3683.12,1.21911,0.64288,1.13274,0.99684,1,0.995,0.70924,0.99608,0.49952,0.97307,0.001307,0.001307,0.001307
37,3783.91,1.22895,0.64669,1.09953,0.99631,1,0.995,0.75289,0.82671,0.54709,0.94573,0.0012872,0.0012872,0.0012872
38,3884.62,1.20305,0.66899,1.1068,0.99563,1,0.995,0.72056,1.01534,0.51905,0.9842,0.0012674,0.0012674,0.0012674
39,3984.87,1.23442,0.64525,1.12671,0.99795,1,0.995,0.69732,0.96293,0.48278,0.9667,0.0012476,0.0012476,0.0012476
40,4085.21,1.25129,0.74773,1.1717,1,0.99815,0.995,0.71764,1.00553,0.52649,0.98689,0.0012278,0.0012278,0.0012278
41,4185.62,1.2077,0.67236,1.106,0.99863,1,0.995,0.70039,1.07334,0.55575,0.99192,0.001208,0.001208,0.001208
42,4286.59,1.212,0.65411,1.10982,0.99576,1,0.995,0.75613,0.72932,0.45579,0.91222,0.0011882,0.0011882,0.0011882
43,4386.91,1.15974,0.63646,1.08717,0.99781,1,0.995,0.73116,0.90765,0.42541,0.95329,0.0011684,0.0011684,0.0011684
44,4489.63,1.16781,0.64773,1.10552,0.99812,1,0.995,0.75042,0.81489,0.43063,0.92989,0.0011486,0.0011486,0.0011486
45,4601.55,1.14954,0.62353,1.08786,0.99649,1,0.995,0.75681,0.80239,0.46699,0.93424,0.0011288,0.0011288,0.0011288
46,4706.63,1.11702,0.61447,1.07409,0.99497,1,0.995,0.74274,0.7881,0.51262,0.92783,0.001109,0.001109,0.001109
47,4807.6,1.15579,0.62119,1.0942,0.99605,1,0.995,0.7443,0.8851,0.51395,0.93985,0.0010892,0.0010892,0.0010892
48,4911.03,1.1049,0.60033,1.08807,0.99807,1,0.995,0.71859,1.07411,0.54457,1.01013,0.0010694,0.0010694,0.0010694
49,5020.23,1.14082,0.58783,1.0935,0.99853,1,0.995,0.74451,0.82218,0.42398,0.95595,0.0010496,0.0010496,0.0010496
50,5126.32,1.11538,0.59911,1.09362,0.99403,1,0.995,0.73769,0.83232,0.47037,0.93593,0.0010298,0.0010298,0.0010298
51,5228.97,1.1192,0.59107,1.09051,0.99768,0.9697,0.98915,0.7324,0.94829,0.47033,0.95238,0.00101,0.00101,0.00101
52,5332.53,1.11214,0.58349,1.08662,0.99767,0.9697,0.97151,0.67085,1.01122,0.49379,0.98724,0.0009902,0.0009902,0.0009902
53,5434.22,1.09936,0.56871,1.07795,0.99805,1,0.995,0.75222,0.75373,0.42976,0.92362,0.0009704,0.0009704,0.0009704
54,5535.01,1.09991,0.57084,1.08159,0.99882,1,0.995,0.72143,0.8531,0.45713,0.9623,0.0009506,0.0009506,0.0009506
55,5639.3,1.05161,0.56138,1.04407,0.99998,1,0.995,0.70127,0.93913,0.47159,0.97488,0.0009308,0.0009308,0.0009308
56,5754.52,1.12531,0.55033,1.08379,0.99805,1,0.995,0.79035,0.77537,0.40409,0.94578,0.000911,0.000911,0.000911
57,5862.6,1.07824,0.54333,1.05716,0.99762,1,0.995,0.78635,0.76592,0.42969,0.91883,0.0008912,0.0008912,0.0008912
58,5968.09,1.05473,0.55012,1.04482,0.99784,1,0.995,0.75648,0.77992,0.44283,0.93245,0.0008714,0.0008714,0.0008714
59,6070.45,1.03933,0.55046,1.04431,0.99769,1,0.995,0.74374,0.9147,0.45332,0.94864,0.0008516,0.0008516,0.0008516
60,6171.76,1.04979,0.5313,1.05789,0.99754,1,0.995,0.73431,0.88322,0.43104,0.94253,0.0008318,0.0008318,0.0008318
61,6273.55,1.06818,0.55597,1.06071,0.99785,1,0.995,0.7645,0.69529,0.40759,0.9145,0.000812,0.000812,0.000812
62,6374.72,1.08509,0.54433,1.06667,0.99874,1,0.995,0.72486,0.96723,0.42634,0.96173,0.0007922,0.0007922,0.0007922
63,6476.47,1.05185,0.54066,1.05919,0.99582,1,0.995,0.78583,0.76662,0.44208,0.9234,0.0007724,0.0007724,0.0007724
64,6577.52,1.02817,0.53751,1.04687,0.99735,1,0.995,0.75799,0.84575,0.40481,0.94747,0.0007526,0.0007526,0.0007526
65,6678.94,1.04525,0.52996,1.03254,0.99779,1,0.995,0.73192,1.02198,0.44399,0.98983,0.0007328,0.0007328,0.0007328
66,6780.15,1.01213,0.54364,1.04504,0.99656,1,0.995,0.76122,0.89778,0.41577,0.9554,0.000713,0.000713,0.000713
67,6882.32,1.03205,0.5388,1.04687,0.9949,1,0.995,0.70956,0.82491,0.40515,0.94565,0.0006932,0.0006932,0.0006932
68,6984.92,1.03659,0.54037,1.04411,0.9978,1,0.995,0.75864,0.74667,0.37206,0.92011,0.0006734,0.0006734,0.0006734
